Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Day,Order_Month,Order_Year,Ship_Day,Ship_Month,Ship_Year,Shipping_Delay,Profit_Margin
1,Ca-2016-152156,2016-08-11,2016-11-11,Second Class,Cg-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Fur-Bo-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.91,11,August,2016,11,November,2016,92,0.16
2,Ca-2016-152156,2016-08-11,2016-11-11,Second Class,Cg-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Fur-Ch-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.58,11,August,2016,11,November,2016,92,0.3
3,Ca-2016-138688,2016-12-06,2016-06-16,Second Class,Dv-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Off-La-10000240,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,2,0.0,6.87,6,December,2016,16,June,2016,-173,0.47
4,Us-2015-108966,2015-11-10,2015-10-18,Standard Class,So-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Fur-Ta-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,10,November,2015,18,October,2015,-23,-0.4
5,Us-2015-108966,2015-11-10,2015-10-18,Standard Class,So-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Off-St-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,10,November,2015,18,October,2015,-23,0.11
6,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Fur-Fu-10001487,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.17,6,September,2014,14,June,2014,-84,0.29
7,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Off-Ar-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.97,6,September,2014,14,June,2014,-84,0.27
8,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Tec-Ph-10002275,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,907.15,6,0.2,90.72,6,September,2014,14,June,2014,-84,0.1
9,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Off-Bi-10003910,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.5,3,0.2,5.78,6,September,2014,14,June,2014,-84,0.31
10,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Off-Ap-10002892,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,5,0.0,34.47,6,September,2014,14,June,2014,-84,0.3
11,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Fur-Ta-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31,6,September,2014,14,June,2014,-84,0.05
12,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Tec-Ph-10002033,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,911.42,4,0.2,68.36,6,September,2014,14,June,2014,-84,0.08
13,Ca-2017-114412,2017-04-15,2017-04-20,Standard Class,Aa-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Off-Pa-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44,15,April,2017,20,April,2017,5,0.35
14,Ca-2016-161389,2016-05-12,2016-10-12,Standard Class,Im-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Off-Bi-10003656,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.98,3,0.2,132.59,12,May,2016,12,October,2016,153,0.32
15,Us-2015-118983,2015-11-22,2015-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Off-Ap-10002311,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,5,0.8,-123.86,22,November,2015,26,November,2015,4,-1.8
16,Us-2015-118983,2015-11-22,2015-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Off-Bi-10000756,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.82,22,November,2015,26,November,2015,4,-1.5
17,Ca-2014-105893,2014-11-11,2014-11-18,Standard Class,Pk-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Off-St-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",665.88,6,0.0,13.32,11,November,2014,18,November,2014,7,0.02
18,Ca-2014-167164,2014-05-13,2014-05-15,Second Class,Ag-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Off-St-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,13,May,2014,15,May,2014,2,0.18
19,Ca-2014-143336,2014-08-27,2014-01-09,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Off-Ar-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.48,27,August,2014,9,January,2014,-230,0.29
20,Ca-2014-143336,2014-08-27,2014-01-09,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Tec-Ph-10001949,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,3,0.2,16.01,27,August,2014,9,January,2014,-230,0.07
